Phenocam,Crop,State,Tile,Ano,Planting Phenocam,Emergence phenocam,D1 Phenocam,D1 HLS,D1 original HLS,Di Phenocam,Di HLS,Di original HLS,D2 Phenocam,D2 HLS,D2 original HLS,D3 Phenocam,D3 HLS,D3 original HLS, Dd Phenocam,Dd HLS,Dd original HLS, D4 Phenocam,D4 HLS,D4 original HLS,harvest Phenocam
arkansascornsoy ,Corn,Arkansas,15SXU,2022,20220405,20220427,20220426,20220521,20220525,20220504,20220531,20220601,20220512,20220609,20220608,20220616,20220801,20220805,20220704,20220812,20220812,20220723,20220823,20220818,20220827
arkansascornsoy ,Corn,Arkansas,15SXU,2023,20230523,20230601,20230530,20230606,20230609,20230606,20230616,20230612,20230614,20230626,20230615,20230722,20230813,20230818,20230809,20230907,20230914,20230828,20231002,20231010,20230923
arsbrooks10 ,Corn,IOWA,15TVG,2021,20210415,20210503,20210525,20210605,20210607,20210604,20210617,20210617,20210613,20210629,20210627,20210813,20210825,20210829,20210828,20210907,20210909,20210912,20210920,20210920,20211011
arsbrooks10 ,Soybeans,IOWA,15TVG,2022,20220602,20220623,20220624,20220704,20220707,20220702,20220716,20220716,20220711,20220727,20220724,20220911,20220909,20220911,20220920,20220921,20220921,20220929,20221002,20221001,20221009
arsbrooks10 ,Corn,IOWA,15TVG,2023,20230429,20230513,20230526,20230603,20230606,20230604,20230614,20230614,20230612,20230625,20230622,20230815,20230904,20230908,20230831,20230916,20230916,20230916,20230928,20230925,20231011
arscolesnorth,Corn,IOWA,15TVH,2021,20210402,20210508,20210605,20210612,20210616,20210615,20210622,20210622,20210624,20210701,20210629,20210819,20210907,20210911,20210904,20210918,20210919,20210919,20210929,20210928,20211019
arscolesnorth,Soybeans,IOWA,15TVH,2022,20220601,20220613,20220629,20220709,20220707,20220710,20220724,20220723,20220722,20220808,20220808,20220914,20220911,20220913,20220921,20220922,20220923,20220928,20221003,20221003,20221013
arscolesnorth,Corn,IOWA,15TVH,2023,20230505,20230523,20230602,20230603,20230608,20230610,20230614,20230615,20230619,20230624,20230622,20230824,20230830,20230902,20230905,20230915,20230916,20230917,20231001,20230929,20231010
arsltarmdcr,Corn,Maryland,18SVJ,2021,20210501,20210520,20210601,20210612,20210614,20210607,20210617,20210620,20210612,20210622,20210626,20210811,20210824,20210823,20210823,20210903,20210902,20210904,20210913,20210911,20210830
arsltarmdcr,Soybeans,Maryland,18SVJ,2022,20220523,20220612,20220621,20220624,20220628,20220702,20220718,20220718,20220713,20220811,20220807,20220914,20220910,20220914,20220922,20220923,20220923,20220929,20221006,20221003,20231103
arsltarmdcr,Corn,Maryland,18SVJ,2023,20230426,20230517,20230527,20230613,20230616,20230604,20230626,20230627,20230611,20230709,20230709,20230807,20230828,20230903,20230821,20230904,20230911,20230903,20230912,20230918,20231022
arsltarucbec1,Corn,Pennsyvania,17TQF,2021,20210516,20210607,20210619,20210608,20210625,20210630,20210623,20210629,20210711,20210708,20210702,20211010,20210928,20211005,20211019,20211016,20211017,20211028,20211103,20211028,20211116
arsltarucbec1,Corn,Pennsyvania,17TQF,2022,20220518,20220601,20220603,20220617,20220601,20220611,20220624,20220612,20220619,20220701,20220622,20220916,20221004,20220923,20220927,20221011,20221006,20221008,20221017,20221019,20221209
arsltarucbec1,Soybeans,Pennsyvania,17TQF,2023,20230520,20230611,20230620,20230602,20230612,20230629,20230613,20230629,20230708,20230624,20230716,20230910,20230928,20230917,20230923,20231009,20231002,20231006,20231021,20231016,20231028
arsmorris1,Soybeans,Minnesota,14TQR,2021,20210513,20230530,20210615,20210628,20210629,20210628,20210720,20210718,20210711,20210811,20210805,20210904,20210904,20210909,20210911,20210915,20210916,20210917,20210926,20210924,20210928
arsmorris1,Soybeans,Minnesota,14TQR,2022,20220608,20220621,20220628,20220713,20220715,20220714,20220726,20220727,20220730,20220809,20220808,20220911,20220924,20220911,20220918,20221005,20220923,20220925,20221016,20221005,20221009
arsmorris1,Corn,Minnesota,14TQR,2023,20230510,20230525,20230530,20230614,20230614,20230608,20230623,20230623,20230616,20230702,20230702,20230819,20230828,20230827,20230903,20230906,20230910,20230917,20230915,20230923,20231018
arsmorris3,Soybeans,Minnesota,14TQR,2021,20210505,20210522,20210531,20210614,20210614,20210609,20210701,20210630,20210618,20210717,20210717,20210826,20210825,20210829,20210903,20210905,20210906,20210911,20210916,20210915,20210923
arsmorris3,Corn,Minnesota,14TQR,2022,20220526,20220613,20220612,20220622,20220715,20220619,20220630,20220727,20220626,20220708,20220808,20220829,20220914,20220911,20220918,20220927,20220914,20220925,20221009,20220930,20221007
arsmorris3,Soybeans,Minnesota,14TQR,2023,20230511,20230523,20230603,20230626,20230614,20230613,20230721,20230623,20230623,20230816,20230702,20230827,20230826,20230827,20230904,20230908,20230910,20230912,20230920,20230923,20231003
arsope3ltar,Soybeans,Maryland,18SUJ,2021,20210518,20210607,20210610,20210702,20210704,20210625,20210711,20210711,20210710,20210721,20210717,20210909,20210914,20210918,20210920,20210924,20210926,20211001,20211004,20211004,20211119
arsope3ltar,Corn,Maryland,18SUJ,2022,20220604,20220613,20220531,20220618,20220615,20220616,20220705,20220716,20220702,20220722,20220816,20220906,20220903,20220829,20220915,20220917,20220913,20220924,20220930,20220928,20221130
arsope3ltar,Soybeans,Maryland,18SUJ,2023,20230607,20230622,20230701,20230726,20230726,20230708,20230803,20230802,20230715,20230811,20230808,20230926,20230924,20231003,20231002,20231003,20231008,20231008,20231012,20231014,20231107
bouldincorn,Corn,California,10SFH,2021,20210420,20210514,20210521,20210602,20210603,20210528,20210613,20210614,20210604,20210625,20210625,20210723,20210723,20210725,20210807,20210821,20210823,20210821,20210919,20210920,20211014
bouldincorn,Corn,California,10SFH,2022,20220501,20220518,20220528,20220608,20220611,20220607,20220621,20220620,20220616,20220704,20220629,20220807,20220815,20220822,20220819,20220902,20220905,20220901,20220921,20220920,20221014
bouldincorn,Corn,California,10SFH,2023,20230506,20230604,20230601,20230618,20230621,20230609,20230702,20230702,20230618,20230715,20230713,20230816,20230806,20230804,20230901,20230901,20230901,20230916,20230928,20230929,20231028
ecb1,Corn,Indiana,16TFM,2022,20220518,20220609,20220601,20220529,20220607,20220614,20220710,20220717,20220627,20220822,20220827,20220831,20220910,20220908,20220916,20220924,20220922,20221002,20221008,20221006,20221008
ecb1,Soybeans,Indiana,16TFM,2023,20230524,20230608,20230616,20230706,20230625,20230625,20230717,20230714,20230703,20230728,20230801,20230830,20230905,20230911,20230909,20230916,20230917,20230918,20230927,20230923,20231005
ecb2,Corn,Indiana,16TFM,2022,20220514,20220606,20220422,20220612,20220619,20220522,20220625,20220630,20220621,20220709,20220711,20220913,20220913,20220915,20220925,20220923,20220925,20221008,20221004,20221005,20221029
ecb2,Soybeans,Indiana,16TFM,2023,20230520,20230605,20230618,20230707,20230629,20230627,20230719,20230724,20230707,20230730,20230818,20230907,20230909,20230911,20230914,20230917,20230918,20230922,20230925,20230925,20231005
ecb4,Soybeans,Ohio,17TLF,2022,20220601,20220618,20220707,20220716,20220713,20220716,20220725,20220722,20220725,20220804,20220730,20220916,20220918,20220916,20220924,20220925,20220922,20221002,20221003,20220928,20221011
ecb4,Soybeans,Ohio,17TLF,2023,20230520,20230612,20230626,20230714,20230717,20230704,20230725,20230731,20230711,20230804,20230814,20230903,20230828,20230903,20230914,20230902,20230911,20230924,20230908,20230919,20231010
goodwater,Soybeans,Missouri,15SWD,2023,20230519,20230609,20230701,20230720,20230721,20230715,20230801,20230731,20230729,20230814,20230811,20230906,20230914,20230919,20230916,20230921,20230923,20230926,20230928,20230927,20231012
goodwaterbau,Soybeans,Missouri,15SWD,2021,20210517,20210616,20210615,20210705,20210706,20210625,20210722,20210722,20210705,20210808,20210808,20210902,20210828,20210827,20210910,20210907,20210905,20210919,20210916,20210914,20211111
goodwaterbau,Soybeans,Missouri,15SWD,2022,20220606,20220622,20220624,20220704,20220705,20220703,20220715,20220717,20220712,20220726,20220728,20220908,20220919,20220921,20220917,20220926,20220926,20220926,20221003,20221002,20221011
goodwaterbau,Corn,Missouri,15SWD,2023,20230416,20230508,20230508,20230522,20230526,20230520,20230605,20230605,20230531,20230618,20230615,20230808,20230820,20230826,20230823,20230903,20230906,20230908,20230917,20230916,20231016
mandani2,Soybeans,North Dakota,14TLS,2021,20210608,20210620,20220530,20220609,20220615,20220606,20220621,20220621,20220613,20220702,20220628,20220724,20220702,20220713,20220801,20220722,20220725,20220809,20220810,20220807,20211105
mandani2,Corn,North Dakota,14TLS,2023,20230526,20230605,20230611,20230622,20230620,20230620,20230709,20230710,20230629,20230725,20230729,20230903,20230909,20230907,20230916,20230924,20230923,20230929,20231009,20231010,20231124
mead1,Corn,Nebraska,14TQL,2021,20210427,20210522,20210526,20210604,20210610,20210603,20210615,20210617,20210610,20210626,20210624,20210728,20210823,20210828,20210819,20210912,20210912,20210909,20211001,20210927,20211019
mead1,Soybeans,Nebraska,14TQL,2022,20220511,20220604,20220605,20220625,20220628,20220613,20220708,20220710,20220621,20220722,20220721,20220915,20220907,20220912,20220922,20220921,20220922,20220929,20221004,20221003,20221005
mead1,Corn,Nebraska,14TQL,2023,20230412,20230519,20230522,20230601,20230604,20230530,20230612,20230613,20230607,20230623,20230622,20230730,20230827,20230831,20230818,20230910,20230910,20230907,20230924,20230920,20231019
mead2 ,Corn,Nebraska,14TQL,2023,20230409,20230619,20230526,20230602,20230604,20230602,20230613,20230614,20230610,20230625,20230624,20230803,20230830,20230902,20230830,20230913,20230914,20230925,20230927,20230926,20231019
mead3 ,Corn,Nebraska,14TQL,2021,20210429,20210529,20210529,20210605,20210608,20210606,20210617,20210618,20210615,20210630,20210628,20210814,20210820,20210825,20210905,20210909,20210911,20210927,20210930,20210929,20211105
mead3 ,Soybeans,Nebraska,14TQL,2022,20220520,20220614,20220615,20220624,20220624,20220623,20220709,20220707,20220630,20220723,20220720,20220909,20220903,20220909,20220915,20220914,20220915,20220921,20220924,20220921,20220927
mead3 ,Corn,Nebraska,14TQL,2023,20230412,20230516,20230528,20230605,20230607,20230606,20230619,20230619,20230615,20230702,20230702,20230815,20230824,20230825,20230828,20230902,20230906,20230911,20230911,20230917,20231017
NEON.D06.KONA.DP1.00033    ,Corn,Kansas,14SQJ,2022,20220503,20220523,20220530,20220606,20220610,20220608,20220628,20220619,20220616,20220720,20220629,20220804,20220718,20220805,20220816,20220811,20220820,20220829,20220903,20220903,20220927
NEON.D06.KONA.DP1.00033    ,Soybeans,Kansas,14SQJ,2023,20230524,20230613,20230618,20230627,20230629,20230627,20230714,20230712,20230705,20230801,20230724,20230825,20230818,20230822,20230905,20230902,20230903,20230916,20230917,20230916,20231011
uiefmaize,Corn,Ilinois,16TCK,2021,20210428,20240525,20210530,20210609,20210612,20210608,20210623,20210622,20210616,20210706,20210702,20210821,20210821,20210826,20210901,20210904,20210905,20210912,20210917,20210915,20210930
uiefmaize,Soybeans,Ilinois,16TCK,2022,20220510,20220525,20220523,20220612,20220614,20220606,20220705,20220701,20220620,20220728,20220718,20220910,20220827,20220908,20220919,20220912,20220915,20220927,20220928,20220922,20221004
uiefmaize,Corn,Ilinois,16TCK,2023,20230503,20230617,20230519,20230529,20230601,20230528,20230612,20230619,20230606,20230625,20230706,20230817,20230927,20230827,20230902,20231005,20230912,20230919,20231013,20230927,20231012
